S.No:  :RequestDate:  :ActionType:: ID:: noOfScan:: : totalScans :
S.No: 0RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 0
S.No: 1RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 2.00
S.No: 2RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 4.00
S.No: 3RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 4.50
S.No: 4RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 6.50
S.No: 5RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 8.50
S.No: 6RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 10.50
S.No: 7RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 11.00
S.No: 8RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 13.00
S.No: 9RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 15.00
S.No: 10RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 17.00
S.No: 11RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 17.50
S.No: 12RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 19.50
S.No: 13RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 21.50
S.No: 14RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 23.50
S.No: 15RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 24.00
S.No: 16RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 26.00
S.No: 17RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 28.00
S.No: 18RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 30.00
S.No: 19RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 30.50
S.No: 20RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 32.50
S.No: 21RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 34.50
S.No: 22RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 36.50
S.No: 23RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 37.00
S.No: 24RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 39.00
S.No: 25RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 41.00
S.No: 26RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 43.00
S.No: 27RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 45.00
S.No: 28RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 45.50
S.No: 29RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 46.00
S.No: 30RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 48.00
S.No: 31RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 48.50
S.No: 32RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 50.50
S.No: 33RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 52.50
S.No: 34RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 53.00
S.No: 35RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 53.50
S.No: 36RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 54.00
S.No: 37RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 56.00
S.No: 38RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 58.00
S.No: 39RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 58.50
S.No: 40RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 60.50
S.No: 41RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 62.50
S.No: 42RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 64.50
S.No: 43RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 65.00
S.No: 44RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 67.00
S.No: 45RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 69.00
S.No: 46RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 71.00
S.No: 47RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 73.00
S.No: 48RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 75.00
S.No: 49RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 77.00
S.No: 50RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 77.50
S.No: 51RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 79.50
S.No: 52RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 81.50
S.No: 53RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 82.00
S.No: 54RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 84.00
S.No: 55RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 86.00
S.No: 56RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 88.00
S.No: 57RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 90.00
S.No: 58RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 92.00
S.No: 59RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 92.50
S.No: 60RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 94.50
S.No: 61RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 95.00
S.No: 62RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 97.00
S.No: 63RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 99.00
S.No: 64RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 101.00
S.No: 65RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 103.00
S.No: 66RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 103.50
S.No: 67RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 105.50
S.No: 68RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 107.50
S.No: 69RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 108.00
S.No: 70RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 110.00
S.No: 71RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 112.00
S.No: 72RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 114.00
S.No: 73RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 116.00
S.No: 74RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 116.50
S.No: 75RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 118.50
S.No: 76RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 120.50
S.No: 77RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 122.50
S.No: 78RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 124.50
S.No: 79RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 125.00
S.No: 80RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:0.50 *** 127.00
S.No: 81RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 127.50
S.No: 82RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 129.50
S.No: 83RequestDate:Thu Jul 12 11:00:00 IST 2018, ID: BARGAIN_FINDER_MAX, noOfScan:2.00 *** 131.50
